"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"06-baseline-ER-power-law-Tang"
"06/17/2026 16:24:51:169 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","power-law-lambda","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"160","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","8","1","8","0.0013125000000000003","0.15","5.979"
"162","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","10","1","10","0.0013000000000000002","0.15","5.979"
"161","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","17","1","17","0.0018235294117647058","0.15","5.979"
"163","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","9","1","9","0.0013333333333333333","0.15","5.979"
"165","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","6","1","6","0.0016666666666666668","0.15","5.979"
"164","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","46","1","46","0.0011413043478260875","0.15","5.979"
"166","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","16","1","16","0.0018437500000000003","0.15","5.979"
"168","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","9","1","9","0.0022222222222222227","0.15","5.979"
"167","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","9","1","9","0.0013333333333333337","0.15","5.979"
"169","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.032","19","1","19","0.0015000000000000005","0.16","5.979"
"171","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.032","5","1","5","0.0018","0.16","5.979"
